0	782.125	527.593
1	278.05	651.498
2	691.216	158.64
3	479.034	67.8939
4	742.906	378.166
5	240.46	673.896
6	728.055	216.907
7	395.849	125.087
8	537.167	173.589
9	486.323	87.1646
10	713.22	113.376
11	485.103	234.214
12	663.969	140.748
13	652.21	343.347
14	730.84	389.956
15	148.673	74.9171
16	344.993	257.331
17	258.547	66.4378
18	577.512	53.2649
19	454.13	459.695
20	736.364	219.828
21	684.007	199.816
22	778.863	462.909
23	125.964	617.398
24	187.593	235.492
25	288.514	675.396
26	389.703	347.85
27	783.807	369.741
28	660.394	350.627
29	736.83	204.819
30	458.182	50.9321
31	136.411	708.153
32	425.645	296.258
33	578.088	300.701
34	754.954	118.847
35	227.588	538.505
36	324.613	795
37	659.167	172.993
38	458.939	599.962
39	254.852	51.5056
40	187.445	39.8593
41	592.132	127.63
42	625.117	85.812
43	256.31	527.326
44	631.184	282.342
45	614.671	54.6817
46	547.33	267.216
47	538.746	382.8
48	658.068	270.351
49	530.494	616.341
50	551.54	422.427
51	565.397	195.767
52	273.173	137.168
53	486.898	394.411
54	782.876	270.869
55	540.345	595.95
56	323.336	525.823
57	127.484	478.048
58	598.074	374.941
59	527.339	353.663
60	768.131	517.419
61	601.399	248.43
62	734.321	566.379
63	417.523	365.087
64	616.052	121.854
65	524.496	157.494
66	767.187	726.5
67	608.658	710.872
68	533.173	56.5294
69	129.504	124.143
70	198.237	704.883
71	604.686	275.871
72	240.106	274.136
73	656.941	168.462
74	643.849	408.693
75	628.912	320.688
76	345.341	620.232
77	760.221	354.487
78	530.919	296.025
79	760.461	671.634
80	290.536	374.535
81	795	265.381
82	425.922	548.595
83	307.979	119.201
84	484.726	342.284
85	586.031	669.646
86	623.206	597.57
87	459.702	781.625
88	653.014	338.771
89	691.058	492.166
90	671.741	337.012
91	576.697	548.122
92	516.653	500.506
93	578.479	135.084
94	779.406	467.975
95	297.032	360.577
96	450.84	102.366
97	340.06	767.973
98	698.913	671.831
99	312.901	295.186
