241.633	523.304
237.38	252.837
539.145	596.798
369.373	642.702
494.505	771.578
105.777	440.154
720.972	450.408
633.225	616.824
415.347	520.4
706.758	66.939
749.671	273.178
631.666	645.775
679.156	605.542
690.853	373.58
648.742	420.664
539.302	294.38
745.809	28.1126
514.361	122.715
386.91	505.502
468.654	54.213
383.379	590.399
383.451	506.104
460.643	500.601
600.615	607.611
461.463	403.521
567.497	621.211
600.239	195.711
319.174	318.439
402.926	482.228
309.44	639.732
659.867	723.84
251.178	441.218
480.854	358.839
502.197	367.391
334.765	15.2296
758.181	737.803
617.663	429.763
309.918	450.404
297.519	395.517
72.1615	569.035
663.138	169.424
773.174	321.161
658.945	128.306
397.324	229.915
355.526	509.014
91.0278	237.312
601.829	553.321
571.359	157.21
471.879	243.449
710.959	218.336
244.85	506.582
33.2066	489.461
641.389	202.137
711.065	129.976
60.9944	87.922
638.983	516.082
770.782	184.169
703.818	85.7353
752.834	301.63
154.981	144.125
586.704	460.968
576.94	656.937
471.881	126.825
534.616	139.226
779.846	383.621
396.742	439.165
483.045	153.812
519.861	700.17
293.238	211.598
342.474	80.6686
328.782	69.8264
480.569	40.4653
756.303	783.176
485.783	777.246
684.043	172.709
372.689	763.661
740.065	158.273
661.326	691.424
696.035	398.265
695.428	65.481
642.788	657.723
249.267	281.389
593.179	385.339
691.298	112.226
156.324	330.659
685.527	343.882
711.029	153.134
384.362	540.253
555.442	9.80971
460.358	446.668
641.208	387.909
183.915	670.75
315.632	386.65
247.596	247.072
366.534	320.52
493.847	549.176
688.446	280.018
723.386	470.393
206.687	353.343
413.765	445.104
